T,E
1.0438249596580504,-512.0
1.101044050822739,-512.0
1.0266909663135877,-512.0
1.3008873779338543,-512.0
1.4707694283690496,-504.0
1.02769770458213,-512.0
1.2191931292920963,-512.0
1.158520455658619,-420.0
1.2765519012056377,-424.0
1.3860541995521902,-496.0
1.3416291788294066,-512.0
1.2580439006285562,-512.0
1.425565813411103,-504.0
1.411380806635415,-512.0
1.206783965654985,-504.0
1.2271589809208732,-424.0
1.0020038023666697,-512.0
1.029151370844533,-504.0
1.0545719983828674,-512.0
1.196815228416014,-512.0
1.3999352053819183,-512.0
1.2336908007776457,-512.0
1.0572650367679868,-512.0
1.0484889443527396,-512.0
1.3683528442411101,-504.0
1.081788438855055,-512.0
1.4480803859198834,-512.0
1.2129410431867549,-512.0
1.1188291816802987,-424.0
1.4633824944243008,-496.0
1.22694844103815,-512.0
1.1861307865957742,-512.0
1.2775990211634123,-512.0
1.376752281500129,-504.0
1.4232392680339785,-504.0
1.2081312128515962,-436.0
1.4730122267790475,-512.0
1.3812660735353262,-512.0
1.3151412965594442,-512.0
1.244849870908453,-512.0
1.1204140290205735,-512.0
1.281085366868786,-504.0
1.0259809332325522,-504.0
1.2955719080554857,-504.0
1.103406763757016,-432.0
1.1585765855649894,-504.0
1.1353793756589001,-504.0
1.021737531006396,-512.0
1.01057400816822,-512.0
1.296841002233177,-512.0
1.4450097285588477,-504.0
1.1419542189320195,-512.0
1.0438545059553843,-512.0
1.1361207809225795,-492.0
1.0768064495303173,-512.0
1.354045617841794,-428.0
1.208304816534574,-512.0
1.2950379476791545,-512.0
1.4126997555981606,-476.0
1.2381286542933627,-504.0
1.4217874757988764,-496.0
1.2189948014601864,-412.0
1.2772082760199668,-512.0
1.2874359648115168,-512.0
1.0856456520463944,-504.0
1.245303957755936,-512.0
1.3356157066542962,-512.0
1.018081355247348,-504.0
1.1212414265141664,-512.0
1.3923817246260937,-504.0
1.4958872379643553,-488.0
1.386468694067642,-504.0
1.2407456701631403,-512.0
1.4911833415522662,-500.0
1.0655543465131099,-436.0
1.3551226006679933,-512.0
1.4798872611646101,-504.0
1.4147143074413682,-504.0
1.1460296651572641,-512.0
1.4909029737712678,-512.0
1.392040474170704,-512.0
1.0887532912184836,-512.0
1.4458386331274569,-456.0
1.1803286672251272,-492.0
1.2653847952995267,-504.0
1.1831962249131238,-512.0
1.250370593101171,-512.0
1.3894981772890644,-500.0
1.0088343904999562,-512.0
1.0701697985319563,-512.0
1.1925447480501767,-504.0
1.4148948715662066,-504.0
